district_id,district_pop,target,difference,abs_difference,relative_deviation,population_target_ratio,population_floor,population_cap,within_hard_bounds,within_target_tolerance
50,16375,16205.307692307691,169.69230769230853,169.69230769230853,0.01047140300661232,1.0104714030066124,13774.511538461538,24307.96153846154,True,True
51,16043,16205.307692307691,-162.30769230769147,162.30769230769147,-0.010015711851292734,0.9899842881487073,13774.511538461538,24307.96153846154,True,True
52,16383,16205.307692307691,177.69230769230853,177.69230769230853,0.010965068424875093,1.010965068424875,13774.511538461538,24307.96153846154,True,True
53,16679,16205.307692307691,473.69230769230853,473.69230769230853,0.029230688900597674,1.0292306889005978,13774.511538461538,24307.96153846154,True,True
54,15272,16205.307692307691,-933.3076923076915,933.3076923076915,-0.057592716536367425,0.9424072834636326,13774.511538461538,24307.96153846154,True,True
55,17297,16205.307692307691,1091.6923076923085,1091.6923076923085,0.06736634246139685,1.0673663424613968,13774.511538461538,24307.96153846154,True,True
56,17699,16205.307692307691,1493.6923076923085,1493.6923076923085,0.09217302972910116,1.0921730297291012,13774.511538461538,24307.96153846154,True,True
57,15711,16205.307692307691,-494.30769230769147,494.30769230769147,-0.03050282670919779,0.9694971732908022,13774.511538461538,24307.96153846154,True,True
58,16771,16205.307692307691,565.6923076923085,565.6923076923085,0.03490784121061956,1.0349078412106196,13774.511538461538,24307.96153846154,True,True
59,15078,16205.307692307691,-1127.3076923076915,1127.3076923076915,-0.06956410292923966,0.9304358970707604,13774.511538461538,24307.96153846154,True,True
60,16353,16205.307692307691,147.69230769230853,147.69230769230853,0.009113823106389697,1.0091138231063896,13774.511538461538,24307.96153846154,True,True
61,16088,16205.307692307691,-117.30769230769147,117.30769230769147,-0.00723884387356464,0.9927611561264353,13774.511538461538,24307.96153846154,True,True
62,15778,16205.307692307691,-427.30769230769147,427.30769230769147,-0.026368378831247073,0.9736316211687529,13774.511538461538,24307.96153846154,True,True
63,15868,16205.307692307691,-337.30769230769147,337.30769230769147,-0.020814642875790882,0.9791853571242091,13774.511538461538,24307.96153846154,True,True
64,14843,16205.307692307691,-1362.3076923076915,1362.3076923076915,-0.0840655245907086,0.9159344754092914,13774.511538461538,24307.96153846154,True,True
