territory,district_id,province_code,province_name,dominant_municipality_code,dominant_municipality_name,dominant_population,district_population,dominant_population_share,naming_rule,base_name,district_name
castilla_y_leon,12,09,Burgos,09219,Miranda de Ebro,29274,29274,1.0,DOMINANT_MUNICIPALITY,Burgos — Miranda de Ebro,Burgos — Miranda de Ebro
castilla_y_leon,13,09,Burgos,09018,Aranda de Duero,4980,31338,0.158912502393,RURAL_REFERENCE_MUNICIPALITY,Burgos — Entorno de Aranda de Duero,Burgos — Entorno de Aranda de Duero
castilla_y_leon,14,09,Burgos,09059,Burgos,29829,30564,0.97595210051,DOMINANT_MUNICIPALITY,Burgos — Burgos,Burgos — Burgos VI
castilla_y_leon,15,09,Burgos,09194,Lerma,2648,31339,0.084495357223,RURAL_REFERENCE_MUNICIPALITY,Burgos — Entorno de Lerma,Burgos — Entorno de Lerma
castilla_y_leon,16,09,Burgos,09219,Miranda de Ebro,7343,31350,0.234226475279,RURAL_REFERENCE_MUNICIPALITY,Burgos — Entorno de Miranda de Ebro,Burgos — Entorno de Miranda de Ebro
castilla_y_leon,17,09,Burgos,09056,Briviesca,6711,31333,0.214183129608,RURAL_REFERENCE_MUNICIPALITY,Burgos — Entorno de Briviesca,Burgos — Entorno de Briviesca
castilla_y_leon,18,24,León,24089,León,31097,31097,1.0,DOMINANT_MUNICIPALITY,León — León,León — León I
castilla_y_leon,19,24,León,24089,León,30646,30646,1.0,DOMINANT_MUNICIPALITY,León — León,León — León II
castilla_y_leon,20,24,León,24089,León,31056,31056,1.0,DOMINANT_MUNICIPALITY,León — León,León — León III
castilla_y_leon,21,24,León,24115,Ponferrada,31391,31391,1.0,DOMINANT_MUNICIPALITY,León — Ponferrada,León — Ponferrada I
castilla_y_leon,22,24,León,24188,Valencia de Don Juan,5139,28776,0.178586321935,RURAL_REFERENCE_MUNICIPALITY,León — Entorno de Valencia de Don Juan,León — Entorno de Valencia de Don Juan
