district_id,party,votes,bloc
43,PODEMOS -AV,76,izquierda
43,ESCAÑOS EN BLANCO,29,
43,PACMA,21,
43,COALICIÓN ARAGONESA,5,
44,PP,2566,derecha
44,PSOE,2508,izquierda
44,VOX,1371,derecha
44,CHA,881,izquierda
44,IU- MOVIMIENTO SUMAR,248,izquierda
44,EXISTE,220,otros
44,SALF,213,derecha
44,PODEMOS -AV,96,izquierda
44,PAR,53,centro
44,PACMA,44,
44,ESCAÑOS EN BLANCO,39,
44,PCTE,13,
44,COALICIÓN ARAGONESA,7,
44,MUNDO+JUSTO,7,
45,PP,3588,derecha
45,PSOE,2655,izquierda
45,VOX,1689,derecha
45,CHA,1019,izquierda
45,IU- MOVIMIENTO SUMAR,285,izquierda
45,SALF,225,derecha
45,EXISTE,211,otros
45,PAR,107,centro
45,PODEMOS -AV,91,izquierda
45,ESCAÑOS EN BLANCO,73,
45,PACMA,50,
45,COALICIÓN ARAGONESA,11,
45,MUNDO+JUSTO,6,
45,ETXSBC,5,
46,PSOE,2472,izquierda
46,PP,2436,derecha
46,VOX,1281,derecha
46,CHA,976,izquierda
46,IU- MOVIMIENTO SUMAR,281,izquierda
46,EXISTE,234,otros
46,SALF,191,derecha
46,PODEMOS -AV,98,izquierda
46,PAR,57,centro
46,ESCAÑOS EN BLANCO,52,
46,PACMA,50,
46,PCTE,12,
46,COALICIÓN ARAGONESA,7,
46,MUNDO+JUSTO,6,
47,PSOE,2406,izquierda
47,PP,1951,derecha
47,VOX,1362,derecha
47,CHA,1232,izquierda
47,IU- MOVIMIENTO SUMAR,547,izquierda
47,SALF,336,derecha
47,EXISTE,244,otros
47,PODEMOS -AV,149,izquierda
47,PACMA,65,
47,ESCAÑOS EN BLANCO,59,
47,PAR,53,centro
47,PCTE,9,
47,COALICIÓN ARAGONESA,7,
47,MUNDO+JUSTO,5,
48,PP,3285,derecha
48,PSOE,2457,izquierda
48,VOX,1848,derecha
48,CHA,1366,izquierda
48,IU- MOVIMIENTO SUMAR,384,izquierda
48,SALF,343,derecha
48,EXISTE,271,otros
48,PODEMOS -AV,102,izquierda
48,ESCAÑOS EN BLANCO,96,
48,PAR,83,centro
48,PACMA,38,
48,MUNDO+JUSTO,11,
48,PCTE,11,
48,COALICIÓN ARAGONESA,6,
49,PP,3352,derecha
49,VOX,2148,derecha
49,PSOE,1978,izquierda
49,CHA,1256,izquierda
49,SALF,492,derecha
49,IU- MOVIMIENTO SUMAR,334,izquierda
49,EXISTE,282,otros
49,ESCAÑOS EN BLANCO,102,
49,PODEMOS -AV,101,izquierda
49,PAR,91,centro
49,PACMA,55,
49,MUNDO+JUSTO,13,
49,PCTE,9,
49,COALICIÓN ARAGONESA,8,
50,PP,2924,derecha
50,PSOE,2615,izquierda
50,VOX,2044,derecha
50,CHA,855,izquierda
50,SALF,339,derecha
50,IU- MOVIMIENTO SUMAR,324,izquierda
50,EXISTE,195,otros
50,PODEMOS -AV,89,izquierda
50,PAR,71,centro
50,ESCAÑOS EN BLANCO,52,
50,PACMA,19,
50,PCTE,11,
50,MUNDO+JUSTO,7,
51,PP,3214,derecha
51,PSOE,2208,izquierda
51,VOX,1255,derecha
51,CHA,995,izquierda
51,IU- MOVIMIENTO SUMAR,336,izquierda
51,EXISTE,234,otros
51,SALF,211,derecha
51,PODEMOS -AV,123,izquierda
51,ESCAÑOS EN BLANCO,73,
51,PAR,66,centro
51,PACMA,37,
51,MUNDO+JUSTO,10,
51,COALICIÓN ARAGONESA,6,
51,PCTE,6,
52,PP,2882,derecha
52,PSOE,2028,izquierda
52,VOX,1979,derecha
52,CHA,762,izquierda
52,IU- MOVIMIENTO SUMAR,243,izquierda
52,SALF,192,derecha
52,EXISTE,176,otros
52,PAR,103,centro
52,ESCAÑOS EN BLANCO,48,
52,PODEMOS -AV,43,izquierda
52,PACMA,37,
52,ETXSBC,3,
52,COALICIÓN ARAGONESA,1,
52,MUNDO+JUSTO,1,
53,PP,4021,derecha
53,PSOE,1623,izquierda
53,VOX,1389,derecha
53,CHA,789,izquierda
53,IU- MOVIMIENTO SUMAR,324,izquierda
53,SALF,205,derecha
53,EXISTE,203,otros
53,PODEMOS -AV,107,izquierda
53,PAR,60,centro
53,ESCAÑOS EN BLANCO,48,
53,PACMA,34,
53,PCTE,15,
53,MUNDO+JUSTO,9,
53,COALICIÓN ARAGONESA,5,
54,PP,3431,derecha
54,PSOE,2574,izquierda
54,VOX,1947,derecha
54,CHA,865,izquierda
54,SALF,327,derecha
54,IU- MOVIMIENTO SUMAR,319,izquierda
54,EXISTE,236,otros
54,PAR,174,centro
54,PODEMOS -AV,92,izquierda
54,ESCAÑOS EN BLANCO,65,
54,PACMA,36,
54,MUNDO+JUSTO,10,
54,COALICIÓN ARAGONESA,5,
54,PCTE,2,
54,ETXSBC,1,
55,PP,3176,derecha
55,PSOE,2519,izquierda
55,VOX,2002,derecha
55,CHA,771,izquierda
55,SALF,329,derecha
55,EXISTE,212,otros
55,IU- MOVIMIENTO SUMAR,163,izquierda
55,PAR,87,centro
55,PODEMOS -AV,62,izquierda
55,ESCAÑOS EN BLANCO,57,
55,PACMA,43,
55,MUNDO+JUSTO,9,
55,COALICIÓN ARAGONESA,8,
55,PCTE,2,
55,ETXSBC,1,
56,PP,4531,derecha
56,PSOE,2077,izquierda
56,VOX,1502,derecha
56,CHA,1006,izquierda
56,IU- MOVIMIENTO SUMAR,318,izquierda
56,SALF,252,derecha
56,EXISTE,223,otros
56,PODEMOS -AV,105,izquierda
56,ESCAÑOS EN BLANCO,74,
56,PAR,65,centro
56,PACMA,36,
56,PCTE,12,
56,MUNDO+JUSTO,8,
56,COALICIÓN ARAGONESA,7,
57,PP,2713,derecha
57,PSOE,1817,izquierda
57,VOX,1234,derecha
57,CHA,879,izquierda
57,IU- MOVIMIENTO SUMAR,487,izquierda
57,SALF,189,derecha
57,EXISTE,138,otros
57,PODEMOS -AV,129,izquierda
57,ESCAÑOS EN BLANCO,58,
57,PACMA,36,
57,PAR,32,centro
57,MUNDO+JUSTO,10,
57,COALICIÓN ARAGONESA,8,
57,PCTE,5,
58,PP,6115,derecha
58,PSOE,2527,izquierda
58,VOX,1664,derecha
58,CHA,1137,izquierda
58,IU- MOVIMIENTO SUMAR,334,izquierda
58,EXISTE,289,otros
58,SALF,210,derecha
58,PODEMOS -AV,114,izquierda
58,PAR,100,centro
58,ESCAÑOS EN BLANCO,93,
58,PACMA,40,
58,PCTE,11,
58,MUNDO+JUSTO,10,
58,COALICIÓN ARAGONESA,5,
59,PP,3399,derecha
59,PSOE,3001,izquierda
59,VOX,2031,derecha
59,CHA,913,izquierda
59,EXISTE,251,otros
59,IU- MOVIMIENTO SUMAR,251,izquierda
59,SALF,197,derecha
59,PAR,110,centro
59,PODEMOS -AV,86,izquierda
59,ESCAÑOS EN BLANCO,51,
59,PACMA,29,
59,PCTE,12,
59,COALICIÓN ARAGONESA,4,
59,MUNDO+JUSTO,4,
60,PP,3330,derecha
60,PSOE,2684,izquierda
60,VOX,1512,derecha
60,CHA,1480,izquierda
60,IU- MOVIMIENTO SUMAR,446,izquierda
60,EXISTE,294,otros
60,SALF,293,derecha
60,PODEMOS -AV,136,izquierda
60,ESCAÑOS EN BLANCO,95,
60,PAR,68,centro
60,PACMA,37,
60,PCTE,11,
60,MUNDO+JUSTO,9,
60,COALICIÓN ARAGONESA,5,
61,PP,4963,derecha
61,PSOE,1868,izquierda
61,VOX,1486,derecha
61,CHA,970,izquierda
61,IU- MOVIMIENTO SUMAR,366,izquierda
61,EXISTE,226,otros
61,SALF,206,derecha
61,PODEMOS -AV,109,izquierda
61,ESCAÑOS EN BLANCO,72,
61,PAR,57,centro
61,PACMA,34,
61,PCTE,16,
61,MUNDO+JUSTO,10,
