section_id,party,votes
0502201002,PACMA,1
0502201002,PCAS-TC,0
0502201002,PODEMOS - AV,4
0502201002,PP,294
0502201002,PSOE,80
0502201002,SALF,6
0502201002,VOX,140
0502201002,XAV,62
0502301001,Cs,0
0502301001,ESCAÑOS EN BLANCO,0
0502301001,FE de las JONS,0
0502301001,IU-MS-VQ,1
0502301001,NUEVECYL,1
0502301001,PACMA,0
0502301001,PCAS-TC,0
0502301001,PODEMOS - AV,0
0502301001,PP,51
0502301001,PSOE,27
0502301001,SALF,0
0502301001,VOX,33
0502301001,XAV,17
0502401001,Cs,0
0502401001,ESCAÑOS EN BLANCO,0
0502401001,FE de las JONS,1
0502401001,IU-MS-VQ,3
0502401001,NUEVECYL,0
0502401001,PACMA,0
0502401001,PCAS-TC,0
0502401001,PODEMOS - AV,0
0502401001,PP,32
0502401001,PSOE,22
0502401001,SALF,2
0502401001,VOX,20
0502401001,XAV,7
0502501001,Cs,0
0502501001,ESCAÑOS EN BLANCO,0
0502501001,FE de las JONS,0
0502501001,IU-MS-VQ,0
0502501001,NUEVECYL,0
0502501001,PACMA,0
0502501001,PCAS-TC,0
0502501001,PODEMOS - AV,0
0502501001,PP,28
0502501001,PSOE,5
0502501001,SALF,0
0502501001,VOX,14
0502501001,XAV,3
0502601001,Cs,0
0502601001,ESCAÑOS EN BLANCO,0
0502601001,FE de las JONS,0
0502601001,IU-MS-VQ,10
0502601001,NUEVECYL,0
0502601001,PACMA,1
0502601001,PCAS-TC,1
0502601001,PODEMOS - AV,1
0502601001,PP,38
0502601001,PSOE,33
0502601001,SALF,2
0502601001,VOX,8
0502601001,XAV,4
0502701001,Cs,1
0502701001,ESCAÑOS EN BLANCO,1
0502701001,FE de las JONS,0
0502701001,IU-MS-VQ,2
0502701001,NUEVECYL,0
0502701001,PACMA,1
0502701001,PCAS-TC,0
0502701001,PODEMOS - AV,1
0502701001,PP,76
0502701001,PSOE,22
0502701001,SALF,3
0502701001,VOX,36
0502701001,XAV,29
0502901001,Cs,0
0502901001,ESCAÑOS EN BLANCO,0
0502901001,FE de las JONS,0
0502901001,IU-MS-VQ,0
0502901001,NUEVECYL,1
0502901001,PACMA,0
0502901001,PCAS-TC,1
0502901001,PODEMOS - AV,1
0502901001,PP,37
0502901001,PSOE,10
0502901001,SALF,0
0502901001,VOX,8
0502901001,XAV,2
0503001001,Cs,0
0503001001,ESCAÑOS EN BLANCO,2
0503001001,FE de las JONS,0
0503001001,IU-MS-VQ,3
0503001001,NUEVECYL,0
0503001001,PACMA,1
0503001001,PCAS-TC,0
0503001001,PODEMOS - AV,0
0503001001,PP,5
0503001001,PSOE,9
0503001001,SALF,2
0503001001,VOX,2
0503001001,XAV,13
0503301001,Cs,0
0503301001,ESCAÑOS EN BLANCO,0
0503301001,FE de las JONS,0
0503301001,IU-MS-VQ,0
0503301001,NUEVECYL,0
0503301001,PACMA,0
0503301001,PCAS-TC,0
0503301001,PODEMOS - AV,0
0503301001,PP,59
0503301001,PSOE,21
0503301001,SALF,1
0503301001,VOX,26
0503301001,XAV,5
0503401001,Cs,0
0503401001,ESCAÑOS EN BLANCO,0
0503401001,FE de las JONS,0
0503401001,IU-MS-VQ,0
0503401001,NUEVECYL,0
0503401001,PACMA,0
0503401001,PCAS-TC,0
0503401001,PODEMOS - AV,0
0503401001,PP,5
0503401001,PSOE,4
0503401001,SALF,0
0503401001,VOX,5
0503401001,XAV,0
0503501001,Cs,1
0503501001,ESCAÑOS EN BLANCO,0
0503501001,FE de las JONS,0
0503501001,IU-MS-VQ,1
0503501001,NUEVECYL,1
0503501001,PACMA,0
0503501001,PCAS-TC,0
0503501001,PODEMOS - AV,0
0503501001,PP,19
0503501001,PSOE,19
0503501001,SALF,0
0503501001,VOX,12
0503501001,XAV,3
0503601001,Cs,1
0503601001,ESCAÑOS EN BLANCO,1
0503601001,FE de las JONS,0
0503601001,IU-MS-VQ,1
0503601001,NUEVECYL,0
0503601001,PACMA,0
0503601001,PCAS-TC,1
0503601001,PODEMOS - AV,0
0503601001,PP,43
0503601001,PSOE,4
0503601001,SALF,1
0503601001,VOX,13
0503601001,XAV,6
0503701001,Cs,0
0503701001,ESCAÑOS EN BLANCO,2
0503701001,FE de las JONS,0
0503701001,IU-MS-VQ,1
0503701001,NUEVECYL,1
0503701001,PACMA,0
0503701001,PCAS-TC,0
0503701001,PODEMOS - AV,1
0503701001,PP,61
0503701001,PSOE,19
0503701001,SALF,1
0503701001,VOX,10
0503701001,XAV,4
0503801001,Cs,0
0503801001,ESCAÑOS EN BLANCO,0
0503801001,FE de las JONS,0
0503801001,IU-MS-VQ,0
0503801001,NUEVECYL,0
0503801001,PACMA,0
0503801001,PCAS-TC,0
0503801001,PODEMOS - AV,2
0503801001,PP,37
0503801001,PSOE,7
0503801001,SALF,0
0503801001,VOX,13
0503801001,XAV,4
0503901001,Cs,0
0503901001,ESCAÑOS EN BLANCO,0
0503901001,FE de las JONS,0
0503901001,IU-MS-VQ,0
0503901001,NUEVECYL,0
0503901001,PACMA,0
