Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
10,Los Monegros,22013,Alberuela de Tubo,22,Huesca
10,Los Monegros,22018,Alcubierre,22,Huesca
10,Los Monegros,22023,Almuniente,22,Huesca
10,Los Monegros,22049,Barbués,22,Huesca
10,Los Monegros,22079,Capdesaso,22,Huesca
10,Los Monegros,22083,Castejón de Monegros,22,Huesca
10,Los Monegros,22085,Castelflorite,22,Huesca
10,Los Monegros,22116,Grañén,22,Huesca
10,Los Monegros,22124,Huerto,22,Huesca
10,Los Monegros,22136,Lalueza,22,Huesca
10,Los Monegros,22137,Lanaja,22,Huesca
10,Los Monegros,22172,Peñalba,22,Huesca
10,Los Monegros,22184,Poleñino,22,Huesca
10,Los Monegros,22197,Robres,22,Huesca
10,Los Monegros,22206,Sangarrén,22,Huesca
10,Los Monegros,22213,Sariñena,22,Huesca
10,Los Monegros,22217,Sena,22,Huesca
10,Los Monegros,22218,Senés de Alcubierre,22,Huesca
10,Los Monegros,22226,Tardienta,22,Huesca
10,Los Monegros,22232,Torralba de Aragón,22,Huesca
10,Los Monegros,22236,Torres de Barbués,22,Huesca
10,Los Monegros,22242,Valfarta,22,Huesca
10,Los Monegros,22251,Villanueva de Sigena,22,Huesca
10,Los Monegros,50022,Almolda (La),50,Zaragoza
10,Los Monegros,50059,Bujaraloz,50,Zaragoza
10,Los Monegros,50104,Farlete,50,Zaragoza
10,Los Monegros,50137,Leciñena,50,Zaragoza
10,Los Monegros,50170,Monegrillo,50,Zaragoza
10,Los Monegros,50206,Perdiguera,50,Zaragoza
11,Bajo Cinca / Baix Cinca,22046,Ballobar,22,Huesca
11,Bajo Cinca / Baix Cinca,22052,Belver de Cinca,22,Huesca
11,Bajo Cinca / Baix Cinca,22077,Candasnos,22,Huesca
11,Bajo Cinca / Baix Cinca,22094,Chalamera,22,Huesca
11,Bajo Cinca / Baix Cinca,22112,Fraga,22,Huesca
11,Bajo Cinca / Baix Cinca,22165,Ontiñena,22,Huesca
11,Bajo Cinca / Baix Cinca,22167,Osso de Cinca,22,Huesca
11,Bajo Cinca / Baix Cinca,22234,Torrente de Cinca,22,Huesca
11,Bajo Cinca / Baix Cinca,22245,Velilla de Cinca,22,Huesca
11,Bajo Cinca / Baix Cinca,22254,Zaidín,22,Huesca
11,Bajo Cinca / Baix Cinca,50165,Mequinenza,50,Zaragoza
12,Tarazona y el Moncayo,50014,Alcalá de Moncayo,50,Zaragoza
12,Tarazona y el Moncayo,50030,Añón de Moncayo,50,Zaragoza
12,Tarazona y el Moncayo,50063,Buste (El),50,Zaragoza
12,Tarazona y el Moncayo,50106,Fayos (Los),50,Zaragoza
12,Tarazona y el Moncayo,50122,Grisel,50,Zaragoza
12,Tarazona y el Moncayo,50140,Litago,50,Zaragoza
12,Tarazona y el Moncayo,50141,Lituénigo,50,Zaragoza
12,Tarazona y el Moncayo,50157,Malón,50,Zaragoza
12,Tarazona y el Moncayo,50190,Novallas,50,Zaragoza
12,Tarazona y el Moncayo,50234,San Martín de la Virgen de Moncayo,50,Zaragoza
12,Tarazona y el Moncayo,50237,Santa Cruz de Moncayo,50,Zaragoza
12,Tarazona y el Moncayo,50251,Tarazona,50,Zaragoza
12,Tarazona y el Moncayo,50261,Torrellas,50,Zaragoza
12,Tarazona y el Moncayo,50265,Trasmoz,50,Zaragoza
12,Tarazona y el Moncayo,50280,Vera de Moncayo,50,Zaragoza
12,Tarazona y el Moncayo,50281,Vierlas,50,Zaragoza
13,Campo de Borja,50003,Agón,50,Zaragoza
