CUSEC_KEY,CUMUN,NMUN,CPRO,NPRO,POP_2025,district_id
4401801001,44018,Almohaja,44,Teruel,10,37
4401901001,44019,Alobras,44,Teruel,63,37
4402001001,44020,Alpeñés,44,Teruel,27,37
4402101001,44021,Allepuz,44,Teruel,123,16
4402201001,44022,Alloza,44,Teruel,556,64
4402301001,44023,Allueva,44,Teruel,31,30
4402401001,44024,Anadón,44,Teruel,35,30
4402501002,44025,Andorra,44,Teruel,1701,43
4402601001,44026,Arcos de las Salinas,44,Teruel,105,16
4402701001,44027,Arens de Lledó,44,Teruel,188,13
4402801001,44028,Argente,44,Teruel,204,37
4402901001,44029,Ariño,44,Teruel,608,66
4403101001,44031,Azaila,44,Teruel,94,66
4403201001,44032,Bádenas,44,Teruel,28,30
4403301001,44033,Báguena,44,Teruel,277,30
4403401001,44034,Bañón,44,Teruel,152,30
4403501001,44035,Barrachina,44,Teruel,113,30
4403601001,44036,Bea,44,Teruel,30,30
4403701001,44037,Beceite,44,Teruel,574,13
4403801001,44038,Belmonte de San José,44,Teruel,114,13
4403901001,44039,Bello,44,Teruel,203,37
4404001001,44040,Berge,44,Teruel,220,13
4404101001,44041,Bezas,44,Teruel,73,37
4404201001,44042,Blancas,44,Teruel,132,37
4404301001,44043,Blesa,44,Teruel,74,66
4404401001,44044,Bordón,44,Teruel,116,13
4404501001,44045,Bronchales,44,Teruel,475,37
4404601001,44046,Bueña,44,Teruel,65,16
4404701001,44047,Burbáguena,44,Teruel,397,30
4404801001,44048,Cabra de Mora,44,Teruel,66,16
4404901001,44049,Calaceite,44,Teruel,961,13
4405001003,44050,Calamocha,44,Teruel,566,30
4405101001,44051,Calanda,44,Teruel,942,13
4405101002,44051,Calanda,44,Teruel,1546,13
4405101003,44051,Calanda,44,Teruel,1315,13
4405201001,44052,Calomarde,44,Teruel,76,37
4405301001,44053,Camañas,44,Teruel,136,16
4405401001,44054,Camarena de la Sierra,44,Teruel,139,16
4405501001,44055,Camarillas,44,Teruel,100,16
4405601001,44056,Caminreal,44,Teruel,608,37
4405901001,44059,Cantavieja,44,Teruel,727,16
4406001001,44060,Cañada de Benatanduz,44,Teruel,40,16
4406101001,44061,"Cañada de Verich, La",44,Teruel,72,13
4406201001,44062,Cañada Vellida,44,Teruel,36,16
4406301001,44063,Cañizar del Olivar,44,Teruel,112,64
4406401001,44064,Cascante del Río,44,Teruel,73,16
4406501001,44065,Castejón de Tornos,44,Teruel,66,30
4406601001,44066,Castel de Cabra,44,Teruel,79,64
4406701001,44067,Castelnou,44,Teruel,92,28
4406801001,44068,Castelserás,44,Teruel,804,13
4407001001,44070,"Castellar, El",44,Teruel,54,16
4407101001,44071,Castellote,44,Teruel,666,13
4407401001,44074,Cedrillas,44,Teruel,656,16
4407501001,44075,Celadas,44,Teruel,335,16
4407601001,44076,Cella,44,Teruel,1173,37
4407601002,44076,Cella,44,Teruel,1521,37
4407701001,44077,"Cerollera, La",44,Teruel,78,13
4408001001,44080,"Codoñera, La",44,Teruel,313,13
4408201001,44082,Corbalán,44,Teruel,118,16
4408401001,44084,Cortes de Aragón,44,Teruel,62,64
4408501001,44085,Cosa,44,Teruel,63,37
4408601001,44086,Cretas,44,Teruel,558,13
4408701001,44087,Crivillén,44,Teruel,91,64
4408801001,44088,"Cuba, La",44,Teruel,53,16
4408901001,44089,Cubla,44,Teruel,57,16
4409001001,44090,Cucalón,44,Teruel,78,30
4409201001,44092,"Cuervo, El",44,Teruel,87,37
4409301001,44093,Cuevas de Almudén,44,Teruel,119,16
4409401001,44094,Cuevas Labradas,44,Teruel,126,16
4409601001,44096,Ejulve,44,Teruel,177,13
4409701001,44097,Escorihuela,44,Teruel,130,16
4409901001,44099,Escucha,44,Teruel,797,64
4410001001,44100,Estercuel,44,Teruel,201,64
4410101001,44101,Ferreruela de Huerva,44,Teruel,79,30
4410201001,44102,Fonfría,44,Teruel,35,30
4410301001,44103,Formiche Alto,44,Teruel,158,16
4410501001,44105,Fórnoles,44,Teruel,75,13
4410601001,44106,Fortanete,44,Teruel,194,16
4410701001,44107,Foz-Calanda,44,Teruel,280,13
4410801001,44108,"Fresneda, La",44,Teruel,460,13
4410901001,44109,Frías de Albarracín,44,Teruel,109,37
4411001001,44110,Fuenferrada,44,Teruel,38,37
4411101001,44111,Fuentes Calientes,44,Teruel,89,16
4411201001,44112,Fuentes Claras,44,Teruel,427,37
4411301001,44113,Fuentes de Rubielos,44,Teruel,146,16
4411401001,44114,Fuentespalda,44,Teruel,306,13
4411501001,44115,Galve,44,Teruel,148,16
4411601001,44116,Gargallo,44,Teruel,87,64
4411701001,44117,Gea de Albarracín,44,Teruel,458,37
4411801001,44118,"Ginebrosa, La",44,Teruel,188,13
4411901001,44119,Griegos,44,Teruel,152,37
4412001001,44120,Guadalaviar,44,Teruel,240,37
4412101001,44121,Gúdar,44,Teruel,73,16
4412201001,44122,Híjar,44,Teruel,765,66
4412301001,44123,Hinojosa de Jarque,44,Teruel,104,16
4412401001,44124,"Hoz de la Vieja, La",44,Teruel,85,64
4412501001,44125,Huesa del Común,44,Teruel,55,30
4412601001,44126,"Iglesuela del Cid, La",44,Teruel,356,16
4412701001,44127,Jabaloyas,44,Teruel,66,37
4412801001,44128,Jarque de la Val,44,Teruel,66,16
4412901001,44129,Jatiel,44,Teruel,48,28
4413001001,44130,Jorcas,44,Teruel,42,16
4413101001,44131,Josa,44,Teruel,34,64
4413201001,44132,Lagueruela,44,Teruel,71,30
4413301001,44133,Lanzuela,44,Teruel,24,30
4413501001,44135,Libros,44,Teruel,102,16
4413601001,44136,Lidón,44,Teruel,56,37
4413701001,44137,Linares de Mora,44,Teruel,243,16
4413801001,44138,Loscos,44,Teruel,121,30
4414101001,44141,Lledó,44,Teruel,164,13
4414201001,44142,Maicas,44,Teruel,35,64
4414301001,44143,Manzanera,44,Teruel,530,16
4414401001,44144,Martín del Río,44,Teruel,367,37
4414501001,44145,Mas de las Matas,44,Teruel,1226,13
4414601001,44146,"Mata de los Olmos, La",44,Teruel,261,64
4414701001,44147,Mazaleón,44,Teruel,472,40
4414801001,44148,Mezquita de Jarque,44,Teruel,83,16
4414901001,44149,Mirambel,44,Teruel,110,16
4415001001,44150,Miravete de la Sierra,44,Teruel,31,16
4415101001,44151,Molinos,44,Teruel,233,13
4415201001,44152,Monforte de Moyuela,44,Teruel,83,66
4415301001,44153,Monreal del Campo,44,Teruel,1363,37
4415301002,44153,Monreal del Campo,44,Teruel,1217,16
4415401001,44154,Monroyo,44,Teruel,327,13
4415501001,44155,Montalbán,44,Teruel,1161,64
4415601001,44156,Monteagudo del Castillo,44,Teruel,42,16
4415701001,44157,Monterde de Albarracín,44,Teruel,62,37
4415801001,44158,Mora de Rubielos,44,Teruel,1755,16
4415901001,44159,Moscardón,44,Teruel,63,37
4416001001,44160,Mosqueruela,44,Teruel,562,16
4416101001,44161,Muniesa,44,Teruel,580,66
4416301001,44163,Noguera de Albarracín,44,Teruel,131,37
4416401001,44164,Nogueras,44,Teruel,36,30
4416501001,44165,Nogueruelas,44,Teruel,188,16
4416701001,44167,Obón,44,Teruel,34,64
4416801001,44168,Odón,44,Teruel,194,30
4416901001,44169,Ojos Negros,44,Teruel,321,37
4417101001,44171,Olba,44,Teruel,286,16
4417201001,44172,Oliete,44,Teruel,354,66
4417301001,44173,"Olmos, Los",44,Teruel,113,13
4417401001,44174,Orihuela del Tremedal,44,Teruel,450,37
4417501001,44175,Orrios,44,Teruel,114,16
4417601001,44176,Palomar de Arroyos,44,Teruel,166,16
4417701001,44177,Pancrudo,44,Teruel,118,37
4417801001,44178,"Parras de Castellote, Las",44,Teruel,57,13
4417901001,44179,Peñarroya de Tastavins,44,Teruel,470,13
4418001001,44180,Peracense,44,Teruel,67,37
4418101001,44181,Peralejos,44,Teruel,91,16
4418201001,44182,Perales del Alfambra,44,Teruel,291,16
4418301001,44183,Pitarque,44,Teruel,61,16
4418401001,44184,Plou,44,Teruel,43,64
4418501001,44185,"Pobo, El",44,Teruel,97,16
4418701001,44187,"Portellada, La",44,Teruel,250,13
4418901001,44189,Pozondón,44,Teruel,53,37
4419001001,44190,Pozuel del Campo,44,Teruel,76,37
4419101001,44191,"Puebla de Híjar, La",44,Teruel,934,28
4419201001,44192,"Puebla de Valverde, La",44,Teruel,483,16
4419301001,44193,Puertomingalvo,44,Teruel,135,16
4419401001,44194,Ráfales,44,Teruel,147,13
4419501001,44195,Rillo,44,Teruel,94,37
4419601001,44196,Riodeva,44,Teruel,113,16
4419701001,44197,Ródenas,44,Teruel,57,37
4419801001,44198,Royuela,44,Teruel,228,37
4419901001,44199,Rubiales,44,Teruel,43,37
4420001001,44200,Rubielos de la Cérida,44,Teruel,20,37
4420101001,44201,Rubielos de Mora,44,Teruel,610,16
4420301001,44203,Salcedillo,44,Teruel,14,30
4420401001,44204,Saldón,44,Teruel,32,37
4420501001,44205,Samper de Calanda,44,Teruel,733,66
4420601001,44206,San Agustín,44,Teruel,131,16
4420701001,44207,San Martín del Río,44,Teruel,137,30
4420801001,44208,Santa Cruz de Nogueras,44,Teruel,25,30
4420901001,44209,Santa Eulalia,44,Teruel,1004,37
4421001001,44210,Sarrión,44,Teruel,1260,16
4421101001,44211,Segura de los Baños,44,Teruel,55,64
4421201001,44212,Seno,44,Teruel,39,13
4421301001,44213,Singra,44,Teruel,76,16
4421501001,44215,Terriente,44,Teruel,194,37
4421601001,44216,Teruel,44,Teruel,1703,37
4421601002,44216,Teruel,44,Teruel,1915,16
4421602001,44216,Teruel,44,Teruel,2005,37
4421602002,44216,Teruel,44,Teruel,1030,37
4421602003,44216,Teruel,44,Teruel,1534,16
4421602004,44216,Teruel,44,Teruel,1499,16
4421602005,44216,Teruel,44,Teruel,1503,37
4421602006,44216,Teruel,44,Teruel,2120,16
4421602007,44216,Teruel,44,Teruel,1054,37
4421603001,44216,Teruel,44,Teruel,1460,37
4421603002,44216,Teruel,44,Teruel,1861,16
