CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,CUSEC_KEY,POP_2025
2219901006,22199,006,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901006,1005
2219901007,22199,007,01,199,22,02,2219901,22199,Huesca,Aragón,ES,2,4,1,Sabiñánigo,2219901007,1252
2220001001,22200,001,01,200,22,02,2220001,22200,Huesca,Aragón,ES,2,4,1,Sahún,2220001001,322
2220101001,22201,001,01,201,22,02,2220101,22201,Huesca,Aragón,ES,2,4,1,Salas Altas,2220101001,297
2220201001,22202,001,01,202,22,02,2220201,22202,Huesca,Aragón,ES,2,4,1,Salas Bajas,2220201001,184
2220301001,22203,001,01,203,22,02,2220301,22203,Huesca,Aragón,ES,2,4,1,Salillas,2220301001,93
2220401001,22204,001,01,204,22,02,2220401,22204,Huesca,Aragón,ES,2,4,1,Sallent de Gállego,2220401001,1540
2220501001,22205,001,01,205,22,02,2220501,22205,Huesca,Aragón,ES,2,4,1,San Esteban de Litera,2220501001,669
2220601001,22206,001,01,206,22,02,2220601,22206,Huesca,Aragón,ES,2,4,1,Sangarrén,2220601001,231
2220701001,22207,001,01,207,22,02,2220701,22207,Huesca,Aragón,ES,2,4,1,San Juan de Plan,2220701001,145
