district_id,party,votes,bloc
50,PP,3369,derecha
50,PSOE,2233,izquierda
50,VOX,2124,derecha
50,CHA,1293,izquierda
50,SALF,402,derecha
50,IU- MOVIMIENTO SUMAR,398,izquierda
50,EXISTE,265,otros
50,PODEMOS -AV,96,izquierda
50,PAR,94,centro
50,ESCAÑOS EN BLANCO,82,
50,PACMA,58,
50,MUNDO+JUSTO,20,
50,PCTE,14,
50,COALICIÓN ARAGONESA,9,
51,PP,3101,derecha
51,PSOE,2133,izquierda
51,VOX,1894,derecha
51,CHA,1252,izquierda
51,IU- MOVIMIENTO SUMAR,423,izquierda
51,SALF,371,derecha
51,EXISTE,244,otros
51,PODEMOS -AV,98,izquierda
51,ESCAÑOS EN BLANCO,80,
51,PAR,64,centro
51,PACMA,53,
51,PCTE,11,
51,MUNDO+JUSTO,7,
51,COALICIÓN ARAGONESA,6,
52,PSOE,2733,izquierda
52,PP,2504,derecha
52,VOX,1810,derecha
52,CHA,671,izquierda
52,IU- MOVIMIENTO SUMAR,314,izquierda
52,EXISTE,294,otros
52,SALF,182,derecha
52,PODEMOS -AV,77,izquierda
52,PAR,51,centro
52,ESCAÑOS EN BLANCO,49,
52,PACMA,20,
52,PCTE,8,
52,MUNDO+JUSTO,6,
52,COALICIÓN ARAGONESA,4,
53,PP,2998,derecha
53,PSOE,2087,izquierda
53,VOX,1843,derecha
53,CHA,702,izquierda
53,EXISTE,261,otros
53,SALF,219,derecha
53,PAR,134,centro
53,IU- MOVIMIENTO SUMAR,95,izquierda
53,PODEMOS -AV,55,izquierda
53,ESCAÑOS EN BLANCO,53,
53,PACMA,28,
53,PCTE,6,
53,MUNDO+JUSTO,4,
53,COALICIÓN ARAGONESA,2,
54,PP,3768,derecha
54,PSOE,3758,izquierda
54,VOX,1930,derecha
54,CHA,832,izquierda
54,EXISTE,288,otros
54,SALF,234,derecha
54,IU- MOVIMIENTO SUMAR,225,izquierda
54,PAR,137,centro
54,PODEMOS -AV,66,izquierda
54,ESCAÑOS EN BLANCO,55,
54,PACMA,24,
54,PCTE,12,
54,COALICIÓN ARAGONESA,8,
54,MUNDO+JUSTO,6,
55,PP,3212,derecha
55,PSOE,2855,izquierda
55,VOX,2074,derecha
55,CHA,945,izquierda
55,IU- MOVIMIENTO SUMAR,258,izquierda
55,SALF,216,derecha
55,EXISTE,202,otros
55,PODEMOS -AV,87,izquierda
55,PAR,83,centro
55,ESCAÑOS EN BLANCO,52,
55,PACMA,31,
55,PCTE,12,
55,MUNDO+JUSTO,3,
55,COALICIÓN ARAGONESA,2,
56,PP,3088,derecha
56,PSOE,2511,izquierda
56,VOX,1878,derecha
56,CHA,873,izquierda
56,SALF,355,derecha
56,IU- MOVIMIENTO SUMAR,291,izquierda
56,EXISTE,177,otros
56,PODEMOS -AV,65,izquierda
56,ESCAÑOS EN BLANCO,54,
56,PAR,54,centro
56,PACMA,33,
56,COALICIÓN ARAGONESA,6,
56,PCTE,5,
56,MUNDO+JUSTO,4,
57,PP,3333,derecha
57,PSOE,2409,izquierda
57,VOX,1925,derecha
57,CHA,884,izquierda
57,EXISTE,327,otros
57,SALF,305,derecha
57,IU- MOVIMIENTO SUMAR,297,izquierda
57,PAR,253,centro
57,PODEMOS -AV,133,izquierda
57,ESCAÑOS EN BLANCO,54,
57,PACMA,29,
57,MUNDO+JUSTO,10,
57,PCTE,10,
57,COALICIÓN ARAGONESA,4,
58,PP,3563,derecha
58,VOX,2487,derecha
58,PSOE,2435,izquierda
58,CHA,1122,izquierda
58,SALF,515,derecha
58,EXISTE,304,otros
58,IU- MOVIMIENTO SUMAR,270,izquierda
58,PODEMOS -AV,128,izquierda
58,PAR,98,centro
58,ESCAÑOS EN BLANCO,60,
58,PACMA,59,
58,COALICIÓN ARAGONESA,17,
58,PCTE,10,
58,MUNDO+JUSTO,6,
59,PP,2997,derecha
59,PSOE,1976,izquierda
59,VOX,1596,derecha
59,CHA,625,izquierda
59,SALF,162,derecha
59,EXISTE,136,otros
59,PAR,115,centro
59,IU- MOVIMIENTO SUMAR,112,izquierda
59,PODEMOS -AV,76,izquierda
59,ESCAÑOS EN BLANCO,22,
59,PACMA,15,
59,MUNDO+JUSTO,5,
59,PCTE,2,
59,COALICIÓN ARAGONESA,1,
60,PP,3366,derecha
60,VOX,2444,derecha
60,PSOE,1453,izquierda
60,CHA,935,izquierda
60,SALF,522,derecha
60,EXISTE,212,otros
60,IU- MOVIMIENTO SUMAR,157,izquierda
60,ESCAÑOS EN BLANCO,75,
60,PODEMOS -AV,67,izquierda
60,PAR,59,centro
60,PACMA,52,
60,PCTE,6,
60,MUNDO+JUSTO,4,
60,COALICIÓN ARAGONESA,3,
61,PSOE,3040,izquierda
61,PP,2607,derecha
61,VOX,1832,derecha
61,CHA,703,izquierda
61,SALF,256,derecha
61,EXISTE,236,otros
61,PAR,105,centro
61,IU- MOVIMIENTO SUMAR,104,izquierda
61,PODEMOS -AV,63,izquierda
61,ESCAÑOS EN BLANCO,45,
61,PACMA,19,
61,PCTE,9,
61,COALICIÓN ARAGONESA,7,
61,MUNDO+JUSTO,3,
62,PP,3248,derecha
62,VOX,2430,derecha
62,PSOE,2427,izquierda
62,CHA,950,izquierda
62,SALF,527,derecha
62,IU- MOVIMIENTO SUMAR,424,izquierda
62,EXISTE,185,otros
62,ESCAÑOS EN BLANCO,92,
62,PODEMOS -AV,78,izquierda
62,PAR,67,centro
62,PACMA,44,
62,PCTE,13,
62,MUNDO+JUSTO,4,
62,COALICIÓN ARAGONESA,3,
63,PP,3371,derecha
63,VOX,2271,derecha
63,PSOE,2156,izquierda
63,CHA,1052,izquierda
63,SALF,488,derecha
63,IU- MOVIMIENTO SUMAR,228,izquierda
63,EXISTE,218,otros
63,PODEMOS -AV,147,izquierda
63,ESCAÑOS EN BLANCO,75,
63,PAR,71,centro
63,PACMA,65,
63,PCTE,18,
63,MUNDO+JUSTO,11,
63,COALICIÓN ARAGONESA,8,
64,PP,3936,derecha
64,PSOE,2875,izquierda
64,VOX,2001,derecha
64,CHA,758,izquierda
64,EXISTE,555,otros
64,SALF,230,derecha
64,IU- MOVIMIENTO SUMAR,215,izquierda
64,PAR,190,centro
64,ESCAÑOS EN BLANCO,50,
64,PODEMOS -AV,47,izquierda
64,PACMA,26,
64,PCTE,15,
64,MUNDO+JUSTO,6,
64,COALICIÓN ARAGONESA,3,
65,PP,3829,derecha
65,PSOE,3007,izquierda
65,VOX,2215,derecha
65,CHA,810,izquierda
65,SALF,319,derecha
65,EXISTE,258,otros
65,IU- MOVIMIENTO SUMAR,148,izquierda
65,PAR,119,centro
65,ESCAÑOS EN BLANCO,60,
65,PODEMOS -AV,60,izquierda
65,PACMA,32,
65,COALICIÓN ARAGONESA,6,
65,MUNDO+JUSTO,5,
65,PCTE,3,
66,PP,2951,derecha
